,0
0,5
1,1
2,4
3,9
4,9
5,2
6,1
7,4
8,9
9,8
10,4
11,0
12,9
13,5
14,0
15,2
16,2
17,2
18,7
19,4
20,2
21,2
22,4
23,3
24,7
25,1
26,5
27,8
28,4
29,4
30,0
31,9
32,0
33,3
34,4
35,8
36,2
37,8
38,2
39,2
40,8
41,9
42,2
43,7
44,4
45,4
46,9
47,5
48,4
49,8
50,9
51,3
52,8
53,3
54,8
55,7
56,4
57,2
58,9
59,0
60,7
61,4
62,6
63,9
64,1
65,2
66,9
67,5
68,2
69,3
70,4
71,2
72,7
73,3
74,4
75,4
76,2
77,9
78,0
79,9
80,9
81,0
82,8
83,3
84,3
85,6
86,9
87,0
88,1
89,5
90,3
91,3
92,8
93,6
94,4
95,5
96,2
97,0
98,3
99,9
100,0
101,1
102,7
103,9
104,5
105,8
106,5
107,1
108,0
109,0
110,2
111,1
112,4
113,7
114,0
115,1
116,5
117,5
118,4
119,7
120,3
121,1
122,4
123,0
124,8
125,4
126,3
127,3
128,7
129,0
130,5
131,4
132,0
133,3
134,9
135,4
136,0
137,9
138,8
139,4
140,9
141,3
142,5
143,4
144,0
145,9
146,3
147,4
148,5
149,6
150,2
151,8
152,2
153,2
154,2
155,8
156,7
157,0
158,2
159,3
160,7
161,5
162,3
163,8
164,7
165,8
166,6
167,9
168,2
169,3
170,2
171,4
172,1
173,9
174,2
175,8
176,8
177,9
178,7
179,6
180,7
181,3
182,5
183,1
184,0
185,8
186,2
187,8
188,1
189,5
190,5
191,1
192,2
193,5
194,0
195,1
196,2
197,3
198,2
199,4
200,7
201,2
202,9
203,4
204,2
205,8
206,3
207,9
208,7
209,5
210,5
211,8
212,9
213,2
214,6
215,0
216,5
217,5
218,1
219,5
220,5
221,0
222,0
223,9
224,3
225,8
226,4
227,6
228,8
229,9
230,7
231,9
232,1
233,2
234,0
235,4
236,2
237,4
238,9
239,8
240,7
241,8
242,7
243,5
244,8
245,0
246,4
247,6
248,3
249,4
250,5
251,4
252,4
253,2
254,5
255,8
256,7
257,2
258,3
259,3
260,9
261,5
262,5
263,4
264,5
265,0
266,2
267,7
268,9
269,5
270,8
271,9
272,4
273,9
274,7
275,5
276,5
277,8
278,0
279,8
280,1
281,7
282,4
283,4
284,9
285,2
286,0
287,6
288,4
289,2
290,0
291,9
292,8
293,5
294,9
295,7
296,8
297,9
298,0
299,4
300,3
301,7
302,2
303,5
304,9
305,8
306,5
307,2
308,3
309,9
310,9
311,8
312,0
313,1
314,2
315,1
316,7
317,9
318,5
319,7
320,9
321,0
322,8
323,5
324,2
325,4
326,5
327,5
328,5
329,7
330,9
331,2
332,3
333,3
334,7
335,4
336,5
337,8
338,4
339,0
340,7
341,8
342,5
343,0
344,0
345,2
346,9
347,5
348,3
349,2
350,5
351,5
352,0
353,1
354,2
355,9
356,8
357,4
358,4
359,1
360,5
361,0
362,8
363,3
364,6
365,1
366,2
367,2
368,1
369,4
370,2
371,5
372,4
373,2
374,7
375,0
376,5
377,4
378,0
379,0
380,0
381,4
382,4
383,4
384,5
385,5
386,5
387,4
388,3
389,8
390,7
391,8
392,5
393,7
394,9
395,9
396,8
397,5
398,6
399,4
400,0
401,5
402,5
403,4
404,4
405,5
406,0
407,9
408,8
409,7
410,0
411,6
412,5
413,6
414,7
415,0
416,7
417,7
418,1
419,5
420,3
421,0
422,7
423,4
424,9
425,2
426,9
427,8
428,9
429,9
430,2
431,4
432,9
433,2
434,5
435,8
436,7
437,9
438,2
439,8
440,1
441,0
442,7
443,0
444,4
445,5
446,2
447,5
448,7
449,7
450,9
451,1
452,4
453,1
454,0
455,0
456,9
457,7
458,1
459,0
460,6
461,4
462,0
463,9
464,2
465,4
466,9
467,5
468,2
469,3
470,3
471,2
472,5
473,5
474,5
475,1
476,9
477,1
478,5
479,2
480,5
481,2
482,3
483,0
484,4
485,7
486,2
487,5
488,4
489,5
490,3
491,9
492,8
493,1
494,9
495,9
496,2
497,5
498,7
499,9
500,1
501,0
502,0
503,8
504,1
505,5
506,9
507,2
508,1
509,0
510,0
511,7
512,7
513,9
514,2
515,5
516,7
517,0
518,3
519,2
520,0
521,2
522,9
523,8
524,4
525,2
526,4
527,6
528,7
529,9
530,3
531,8
532,2
533,0
534,0
535,5
536,0
537,5
538,8
539,9
540,8
541,7
542,8
543,0
544,8
545,5
546,8
547,8
548,4
549,7
550,7
551,5
552,3
553,2
554,5
555,7
556,9
557,6
558,3
559,4
560,8
561,7
562,8
563,6
564,8
565,9
566,9
567,7
568,2
569,5
570,5
571,4
572,4
573,8
574,1
575,5
576,8
577,4
578,1
579,8
580,6
581,5
582,1
583,4
584,6
585,4
586,5
587,2
588,0
589,9
590,8
591,3
592,7
593,7
594,2
595,5
596,9
597,5
598,5
599,9
600,2
601,2
602,0
603,9
604,9
605,0
606,0
607,1
608,9
609,2
610,7
611,2
612,8
613,1
614,2
615,4
616,5
617,9
618,5
619,7
620,9
621,5
622,7
623,4
624,0
625,0
626,2
627,2
628,2
629,5
630,5
631,7
632,3
633,7
634,4
635,8
636,8
637,5
638,2
639,5
640,2
641,3
642,5
643,2
644,2
645,7
646,5
647,6
648,0
649,0
650,0
651,5
652,8
653,4
654,5
655,1
656,9
657,0
658,9
659,2
660,7
661,7
662,2
663,4
664,5
665,9
666,8
667,8
668,2
669,5
670,3
671,2
672,8
673,8
674,3
675,3
676,5
677,0
678,2
679,6
680,0
681,4
682,9
683,9
684,4
685,5
686,0
687,4
688,0
689,0
690,3
691,3
692,2
693,8
694,2
695,8
696,2
697,0
698,3
699,2
700,3
701,7
702,8
703,5
704,0
705,2
706,0
707,0
708,5
709,7
710,5
711,6
712,0
713,0
714,0
715,2
716,2
717,7
718,3
719,5
720,7
721,5
722,8
723,9
724,2
725,9
726,5
727,8
728,4
729,2
730,5
731,5
732,0
733,7
734,4
735,7
736,5
737,8
738,2
739,5
740,4
741,3
742,4
743,4
744,8
745,7
746,1
747,8
748,0
749,0
750,5
751,5
752,5
753,3
754,7
755,8
756,3
757,5
758,7
759,4
760,7
761,1
762,2
763,5
764,5
765,8
766,0
767,5
768,0
769,2
770,4
771,4
772,4
773,2
774,4
775,9
776,0
777,4
778,8
779,5
780,2
781,8
782,2
783,8
784,9
785,7
786,2
787,5
788,4
789,2
790,4
791,8
792,5
793,8
794,7
795,0
796,8
797,7
798,8
799,4
800,6
801,9
802,4
803,5
804,9
805,5
806,4
807,8
808,2
809,0
810,9
811,2
812,2
813,0
814,7
815,2
816,2
817,7
818,4
819,4
820,1
821,3
822,2
823,2
824,9
825,0
826,5
827,8
828,9
829,4
830,6
831,7
832,3
833,0
834,9
835,0
836,4
837,3
838,5
839,4
840,4
841,5
842,0
843,9
844,5
845,0
846,0
847,3
848,4
849,6
850,0
851,5
852,4
853,5
854,6
855,8
856,0
857,6
858,0
859,2
860,8
861,9
862,4
863,1
864,5
865,8
866,4
867,8
868,3
869,3
870,7
871,0
872,5
873,8
874,2
875,0
876,6
877,2
878,4
879,9
880,1
881,6
882,2
883,0
884,8
885,3
886,5
887,5
888,1
889,5
890,5
891,0
892,5
893,2
894,9
895,2
896,7
897,5
898,5
899,8
900,0
901,7
902,7
903,3
904,4
905,4
906,4
907,2
908,1
909,4
910,9
911,5
912,7
913,7
914,1
915,0
916,2
917,1
918,2
919,7
920,8
921,8
922,4
923,4
924,5
925,0
926,8
927,2
928,0
929,4
930,2
931,8
932,0
933,4
934,7
935,9
936,5
937,1
938,7
939,6
940,8
941,5
942,2
943,7
944,3
945,7
946,0
947,5
948,4
949,8
950,1
951,8
952,9
953,0
954,8
